uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_1_start_time,meeting_1_end_time,meeting_2_start_time,meeting_2_end_time,meeting_3_start_time,meeting_3_end_time,meeting_4_start_time,meeting_4_end_time,meeting_5_start_time,meeting_5_end_time,meeting_6_start_time,meeting_6_end_time,meeting_7_start_time,meeting_7_end_time,meeting_8_start_time,meeting_8_end_time,meeting_9_start_time,meeting_9_end_time,meeting_10_start_time,meeting_10_end_time,meeting_11_start_time,meeting_11_end_time,meeting_12_start_time,meeting_12_end_time,meeting_13_start_time,meeting_13_end_time,meeting_14_start_time,meeting_14_end_time,meeting_15_start_time,meeting_15_end_time,meeting_16_start_time,meeting_16_end_time,meeting_17_start_time,meeting_17_end_time,meeting_18_start_time,meeting_18_end_time,meeting_19_start_time,meeting_19_end_time,meeting_20_start_time,meeting_20_end_time
fe75de78-adf0-42e6-8ad5-a0460468d8ec,MANGA....How to draw MANGA people!,Crazy for MANGA! Learn how to draw one of the most popular cartoon styles in the world (made famous by books in Japan),4.8406250000000000,Arts,11,17,9,short,4,1,60,60,40.0000000000000000,a4bafbac-6598-4501-85dc-594552517057,2020-07-13T00:00:00.000-07:00,Mon,14.0,2020-07-13T14:00:00.000-07:00,2020-08-03T15:00:00.000-07:00,2,2020-07-13T14:00:00.000-07:00,2020-07-13T15:00:00.000-07:00,2020-07-20T14:00:00.000-07:00,2020-07-20T15:00:00.000-07:00,2020-07-27T14:00:00.000-07:00,2020-07-27T15:00:00.000-07:00,2020-08-03T14:00:00.000-07:00,2020-08-03T15:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651d6033-e9a8-4969-8815-e50daf83fb79,Introduction to Mandarin Chinese Fundamentals,Get a taste of learning Chinese this with us this year!,4.8961038961038961,World Languages,8,13,12,short,2,1,55,55,45.0000000000000000,10e79fbc-7b40-47f4-aca6-f9eb1034d804,2020-07-16T00:00:00.000-07:00,Thu,9.0,2020-07-16T09:00:00.000-07:00,2020-07-23T09:55:00.000-07:00,1,2020-07-16T09:00:00.000-07:00,2020-07-16T09:55:00.000-07:00,2020-07-23T09:00:00.000-07:00,2020-07-23T09:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed28509a-b3ca-41f6-b444-86e6d9f725c4,Greek Mythology's Mightiest Hero: Hercules vs. the Cretan Bull (Labor 7),"In this mythological adventure, students will hear how Hercules captured the Cretan bull, a gift from Poseidon that turned into curse and father of the Minotaur.",4.9761904761904762,English,9,12,6,one_time,1,1,55,55,22.0000000000000000,f077d843-26d1-4877-860c-6a90180594f7,2020-07-14T00:00:00.000-07:00,Tue,10.0,2020-07-14T10:30:00.000-07:00,2020-07-14T11:25:00.000-07:00,1,2020-07-14T10:30:00.000-07:00,2020-07-14T11:25:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9bc4d2-bcc3-414d-b502-2876a9809cc9,Introduction to Watercolors for Tweens Camp,Join me to learn the very basics of watercolors for the new painter.,4.6699029126213592,Arts,9,13,9,camp,1,4,55,220,50.0000000000000000,39de03f1-5dac-4d60-a7e4-6d29390aaaa4,2020-07-13T00:00:00.000-07:00,Mon,9.0,2020-07-13T09:00:00.000-07:00,2020-07-17T09:55:00.000-07:00,1,2020-07-13T09:00:00.000-07:00,2020-07-13T09:55:00.000-07:00,2020-07-14T09:00:00.000-07:00,2020-07-14T09:55:00.000-07:00,2020-07-15T09:00:00.000-07:00,2020-07-15T09:55:00.000-07:00,2020-07-17T09:00:00.000-07:00,2020-07-17T09:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253de1f2-cfb4-470d-836e-6a063ce7daa1,Extreme Weather Patterns!,This course will cover and explain how extreme weather patterns that can happen on Earth. ,4.8565400843881857,Science & Nature,7,12,6,one_time,1,1,60,60,16.0000000000000000,050cf931-46de-42a9-a4de-fbc5cecbe8dc,2020-07-15T00:00:00.000-07:00,Wed,6.0,2020-07-15T06:00:00.000-07:00,2020-07-15T07:00:00.000-07:00,1,2020-07-15T06:00:00.000-07:00,2020-07-15T07:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08170dc8-78df-4221-acb9-75e788fed8d0,No Drama Llamas-Introduction to Self-Regulation and Conflict Management ,"In this 2-day workshop, students will be introduced to understanding their own emotions and how to manage conflict.  ",4.6500000000000000,Life Skills,10,14,12,short,2,1,50,50,30.0000000000000000,50722eec-13ab-4305-be47-d7fd53fd1bb8,2020-07-17T00:00:00.000-07:00,Fri,9.0,2020-07-17T09:00:00.000-07:00,2020-07-24T09:50:00.000-07:00,2,2020-07-17T09:00:00.000-07:00,2020-07-17T09:50:00.000-07:00,2020-07-24T09:00:00.000-07:00,2020-07-24T09:50:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19f5ced1-1937-471a-b176-e36daab5b3c6,4th-Grade Math Review,"In this 4-week course, we will cover the Common Core Standards for 4th-grade students to review or learn math skills through interactive learning in a small classroom. ",4.9600000000000000,Math,8,12,12,short,4,2,45,90,70.0000000000000000,5dc6b220-3714-4455-b6c6-f0e86bc5a951,2020-07-13T00:00:00.000-07:00,Mon,12.0,2020-07-13T12:00:00.000-07:00,2020-08-05T12:45:00.000-07:00,4,2020-07-13T12:00:00.000-07:00,2020-07-13T12:45:00.000-07:00,2020-07-15T12:00:00.000-07:00,2020-07-15T12:45:00.000-07:00,2020-07-20T12:00:00.000-07:00,2020-07-20T12:45:00.000-07:00,2020-07-22T12:00:00.000-07:00,2020-07-22T12:45:00.000-07:00,2020-07-27T12:00:00.000-07:00,2020-07-27T12:45:00.000-07:00,2020-07-29T12:00:00.000-07:00,2020-07-29T12:45:00.000-07:00,2020-08-03T12:00:00.000-07:00,2020-08-03T12:45:00.000-07:00,2020-08-05T12:00:00.000-07:00,2020-08-05T12:45:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,
a98dde77-d055-434c-96f9-55f1426e0cd3,Graffiti and Street Art: Then and Now,Delve into the history of graffiti and learn about how artists are continuing to take their work to the streets!,4.8348348348348348,Arts,10,15,10,one_time,1,1,55,55,15.0000000000000000,d3556f72-6b4c-4501-8faf-27415deecbef,2020-07-15T00:00:00.000-07:00,Wed,8.0,2020-07-15T08:00:00.000-07:00,2020-07-15T08:55:00.000-07:00,1,2020-07-15T08:00:00.000-07:00,2020-07-15T08:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22b7bfe7-6005-4112-b262-cee57dd3528d,Painting Camp for Kids,We will explore different aspects of painting as we create fun and vibrant paintings each day!,4.9225352112676056,Arts,6,11,14,camp,1,3,55,165,35.0000000000000000,0e47371f-b9fb-4dac-9441-edd8a4fcfe24,2020-07-13T00:00:00.000-07:00,Mon,6.0,2020-07-13T06:00:00.000-07:00,2020-07-15T06:55:00.000-07:00,1,2020-07-13T06:00:00.000-07:00,2020-07-13T06:55:00.000-07:00,2020-07-14T06:00:00.000-07:00,2020-07-14T06:55:00.000-07:00,2020-07-15T06:00:00.000-07:00,2020-07-15T06:55:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077098e-0aeb-4370-9dcc-cd250beb4c30,Basic shading of a sphere,In this one-time class we will be drawing and shading a sphere with a graphite pencil,4.8430034129692833,Arts,6,11,10,one_time,1,1,30,30,10.0000000000000000,6187a2cc-2902-48ab-8bad-653a26f14455,2020-07-17T00:00:00.000-07:00,Fri,10.0,2020-07-17T10:30:00.000-07:00,2020-07-17T11:00:00.000-07:00,1,2020-07-17T10:30:00.000-07:00,2020-07-17T11:00:00.000-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
