uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_uid,meeting_start_time,meeting_end_time,meeting_start_dow,meeting_start_hour_of_day
005f0895-df7d-4325-b794-32985941fee9,Doodle Camp (Ages 13 - 17),"In this two-week class, learners will be walked through doodle exercises designed to help them improve their drawing skills in a fun and stress-free way.",5.0000000000000000,Arts,13,17,8,short,2,3,30,90,50.0000000000000000,78dd4a18-aa75-4599-9b66-480b599c1fcb,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:45:00.000-07:00,2020-07-24T11:15:00.000-07:00,1,677ad756-1ef7-4072-96b0-31c352c89533,2020-07-22T10:45:00.000-07:00,2020-07-22T11:15:00.000-07:00,Wed,10.0
005f0895-df7d-4325-b794-32985941fee9,Doodle Camp (Ages 13 - 17),"In this two-week class, learners will be walked through doodle exercises designed to help them improve their drawing skills in a fun and stress-free way.",5.0000000000000000,Arts,13,17,8,short,2,3,30,90,50.0000000000000000,78dd4a18-aa75-4599-9b66-480b599c1fcb,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:45:00.000-07:00,2020-07-24T11:15:00.000-07:00,1,ad0f3b91-3eda-4562-8b4c-904b18f54843,2020-07-20T10:45:00.000-07:00,2020-07-20T11:15:00.000-07:00,Mon,10.0
005f0895-df7d-4325-b794-32985941fee9,Doodle Camp (Ages 13 - 17),"In this two-week class, learners will be walked through doodle exercises designed to help them improve their drawing skills in a fun and stress-free way.",5.0000000000000000,Arts,13,17,8,short,2,3,30,90,50.0000000000000000,78dd4a18-aa75-4599-9b66-480b599c1fcb,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:45:00.000-07:00,2020-07-24T11:15:00.000-07:00,1,8b9677ef-c0fc-43a1-aef4-c94dba3b4100,2020-07-17T10:45:00.000-07:00,2020-07-17T11:15:00.000-07:00,Fri,10.0
005f0895-df7d-4325-b794-32985941fee9,Doodle Camp (Ages 13 - 17),"In this two-week class, learners will be walked through doodle exercises designed to help them improve their drawing skills in a fun and stress-free way.",5.0000000000000000,Arts,13,17,8,short,2,3,30,90,50.0000000000000000,78dd4a18-aa75-4599-9b66-480b599c1fcb,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:45:00.000-07:00,2020-07-24T11:15:00.000-07:00,1,5d30460b-f2d5-4d24-b498-64cab92e26db,2020-07-15T10:45:00.000-07:00,2020-07-15T11:15:00.000-07:00,Wed,10.0
005f0895-df7d-4325-b794-32985941fee9,Doodle Camp (Ages 13 - 17),"In this two-week class, learners will be walked through doodle exercises designed to help them improve their drawing skills in a fun and stress-free way.",5.0000000000000000,Arts,13,17,8,short,2,3,30,90,50.0000000000000000,78dd4a18-aa75-4599-9b66-480b599c1fcb,2020-07-13T00:00:00.000-07:00,Mon,10.0,2020-07-13T10:45:00.000-07:00,2020-07-24T11:15:00.000-07:00,1,44b263f0-997d-4de3-bdd4-baa5ba74bb14,2020-07-13T10:45:00.000-07:00,2020-07-13T11:15:00.000-07:00,Mon,10.0
0063ab86-fb17-4255-b287-dd7f1471c558,Boys Group - Social Skills (Ages 7-10),Chat with an experienced educator and other elementary school aged boys to help build social skills.,4.8955223880597015,Life Skills,7,10,8,one_time,1,1,45,45,19.0000000000000000,8b0be4f5-60f0-4e30-adb2-602e0cd4df03,2020-07-14T00:00:00.000-07:00,Tue,9.0,2020-07-14T09:00:00.000-07:00,2020-07-14T09:45:00.000-07:00,1,7a33566f-0718-435b-8278-259e919f97b8,2020-07-14T09:00:00.000-07:00,2020-07-14T09:45:00.000-07:00,Tue,9.0
008829ed-5c1b-41fb-9355-0418a7afdd9d,The 12 Most Frequent Spanish Verbs Are Irregular. Let's Use Them. Part 2. 11yrs+,"Join me for part 2 of the class that teaches the verbs students would most often hear and use in any Spanish context. We'll cover: Tener, Hacer, and Poder. Some prior Spanish learning would help students take full advantage of this class. ",4.8455284552845528,World Languages,11,16,8,one_time,1,1,50,50,11.0000000000000000,a3bda4a0-b8d5-4554-afc2-bebbe37baad3,2020-07-19T00:00:00.000-07:00,Sun,14.0,2020-07-19T14:00:00.000-07:00,2020-07-19T14:50:00.000-07:00,1,10040253-2ea1-49a3-b79a-778885d2c967,2020-07-19T14:00:00.000-07:00,2020-07-19T14:50:00.000-07:00,Sun,14.0
008c48b5-4b38-4a18-a050-1951e322f669,The Greatest Machine- Human Body Systems,Students will learn about the structure of the human body including the major organs and body systems.Student will also be able to explain why the human body is the greatest machine ever made. ,4.3125000000000000,Science & Nature,8,11,10,one_time,1,1,55,55,11.0000000000000000,cb05f3df-64f5-425d-9a7d-1ad84306400b,2020-07-14T00:00:00.000-07:00,Tue,9.0,2020-07-14T09:00:00.000-07:00,2020-07-14T09:55:00.000-07:00,1,b0bc4748-4fbf-4018-bfa4-39a481c4bfea,2020-07-14T09:00:00.000-07:00,2020-07-14T09:55:00.000-07:00,Tue,9.0
0096c8e7-cbb9-4809-a9e7-f42e80c5c1ed,Fix Your Own Lunch - Tomato Spirals,"Inspire your little ones to cook a simple, balanced and yet delicious lunch or dinner for themselves!",5.0000000000000000,Life Skills,4,9,8,one_time,1,1,35,35,8.0000000000000000,b8150ddb-4886-4524-8ab4-032130beaeb3,2020-07-16T00:00:00.000-07:00,Thu,10.0,2020-07-16T10:00:00.000-07:00,2020-07-16T10:35:00.000-07:00,2,eb2fe6d8-4a2c-4b82-a430-74050179e589,2020-07-16T10:00:00.000-07:00,2020-07-16T10:35:00.000-07:00,Thu,10.0
00a04c4f-94a7-4b5a-93a8-fff80164ef31,"Polly Pocket Party! Read, sing, dance, & learn! ","Tiny is Mighty! Let’s read, dance, and play Polly Pockets! ",4.7791411042944785,Health & Wellness,4,6,6,one_time,1,1,25,25,8.0000000000000000,a1a3d417-7e8a-4bb9-acc5-42c57ea853f6,2020-07-13T00:00:00.000-07:00,Mon,11.0,2020-07-13T11:00:00.000-07:00,2020-07-13T11:25:00.000-07:00,1,7df9f1fb-a247-4c84-abed-df423b4d0141,2020-07-13T11:00:00.000-07:00,2020-07-13T11:25:00.000-07:00,Mon,11.0
